Чек-лист для регрессионного тестирования проекта Мистериум,,,,,,,,,,,Дата проверки:
№ п\п,Раздел ТЗ,Раздел,Название проверки,Android,iOS,Web,Дата проверки,Ссылка на баг-репорт,Комментарий,,
,,,,,,,,,,,,
,2.1,1. ЗАПУСК И АВТОРИЗАЦИЯ,,,,,,,,,
1,2.1,Загрузочный экран,Отображение логотипа и названия приложения при запуске,NOT STARTED,NOT STARTED,NOT STARTED,,,,
2,2.1,Экран входа,Отображение кнопки "Войти",NOT STARTED,NOT STARTED,NOT STARTED,,,,
3,2.1,Экран входа,Отображение кнопки "Зарегистрироваться",NOT STARTED,NOT STARTED,NOT STARTED,,,,
4,2.1,Экран входа,Отображение кнопки "Войти с Google",NOT STARTED,NOT STARTED,NOT STARTED,,,,
5,2.1,Экран входа,Отображение кнопки "Войти с Apple",NOT STARTED,NOT STARTED,NOT STARTED,,,,
6,2.1,Пользовательское соглашение,Отображение текста пользовательского соглашения при первом входе,NOT STARTED,NOT STARTED,NOT STARTED,,,,
7,2.1,Пользовательское соглашение,Возможность скролла текста соглашения,NOT STARTED,NOT STARTED,NOT STARTED,,,,
8,2.1,Пользовательское соглашение,Работа кнопки "Согласен" для продолжения,NOT STARTED,NOT STARTED,NOT STARTED,,,,
9,2.1,Пользовательское соглашение,Повторный запрос согласия при обновлении соглашения,NOT STARTED,NOT STARTED,NOT STARTED,,,,
,,,,,,,,,,,,
,2.1.1,2. АВТОРИЗАЦИЯ ЧЕРЕЗ E-MAIL,,,,,,,,,
10,2.1.1,Авторизация,Переход на экран авторизации по кнопке "Войти",NOT STARTED,NOT STARTED,NOT STARTED,,,,
11,2.1.1,Авторизация,Ввод логина (email) в поле авторизации,NOT STARTED,NOT STARTED,NOT STARTED,,,,
12,2.1.1,Авторизация,Ввод пароля в поле авторизации,NOT STARTED,NOT STARTED,NOT STARTED,,,,
13,2.1.1,Авторизация,Успешная авторизация с корректными данными,NOT STARTED,NOT STARTED,NOT STARTED,,,,
14,2.1.1,Авторизация,Отображение ошибки "Проверьте свои данные" при неверных данных,NOT STARTED,NOT STARTED,NOT STARTED,,,,
15,2.1.1,Авторизация,Работа функции "Запомнить пароль",NOT STARTED,NOT STARTED,NOT STARTED,,,,
16,2.1.1,Авторизация,Автоматический вход при повторном запуске с включенной опцией "Запомнить пароль",NOT STARTED,NOT STARTED,NOT STARTED,,,,
17,2.1.1,Авторизация,Переход к восстановлению пароля по кнопке "Забыли пароль?",NOT STARTED,NOT STARTED,NOT STARTED,,,,
18,2.1.1,Блокировка,Отображение сообщения о блокировке для заблокированного аккаунта,NOT STARTED,NOT STARTED,NOT STARTED,,,,
19,2.1.1,Блокировка,Работа кнопки "Обратиться в поддержку" при блокировке,NOT STARTED,NOT STARTED,NOT STARTED,,,,
20,2.1.1,Блокировка,Работа кнопки "Удалить аккаунт" при блокировке,NOT STARTED,NOT STARTED,NOT STARTED,,,,
,,,,,,,,,,,,
,2.1.2,3. ВОССТАНОВЛЕНИЕ ПАРОЛЯ,,,,,,,,,
21,2.1.2,Восстановление,Ввод email для восстановления пароля,NOT STARTED,NOT STARTED,NOT STARTED,,,,
22,2.1.2,Восстановление,Отправка письма с пин-кодом на указанную почту,NOT STARTED,NOT STARTED,NOT STARTED,,,,
23,2.1.2,Восстановление,Ошибка "Проверьте свои данные" для незарегистрированного email,NOT STARTED,NOT STARTED,NOT STARTED,,,,
24,2.1.2,Восстановление,Действительность пин-кода в течение 10 минут,NOT STARTED,NOT STARTED,NOT STARTED,,,,
25,2.1.2,Восстановление,Возможность повторной отправки кода через 1 минуту,NOT STARTED,NOT STARTED,NOT STARTED,,,,
26,2.1.2,Восстановление,Аннулирование старого кода при отправке нового,NOT STARTED,NOT STARTED,NOT STARTED,,,,
27,2.1.2,Восстановление,Переход на страницу создания нового пароля после ввода верного кода,NOT STARTED,NOT STARTED,NOT STARTED,,,,
28,2.1.2,Восстановление,Успешная смена пароля,NOT STARTED,NOT STARTED,NOT STARTED,,,,
,,,,,,,,,,,,
,2.1.3,4. АВТОРИЗАЦИЯ ЧЕРЕЗ GOOGLE/APPLE,,,,,,,,,
29,2.1.3,Google/Apple,Авторизация через Google Play,NOT STARTED,NOT STARTED,NOT STARTED,,,,
30,2.1.3,Google/Apple,Авторизация через Apple ID,NOT STARTED,NOT STARTED,NOT STARTED,,,,
31,2.1.3,Google/Apple,Присвоение уникального UserID после авторизации,NOT STARTED,NOT STARTED,NOT STARTED,,,,
