Чек-лист вычитки Технического Задания (ТЗ),,,,,,,
Проект:,,,Дата вычитки:,,,
Версия ТЗ:,,,Вычитку выполнил:,,,
,,,,,,,
№ п\п,Раздел,Критерий проверки,Статус,Комментарий / Найденные проблемы,Критичность,Ссылка на вопрос/замечание
,,,,,,,
1. ОБЩАЯ ИНФОРМАЦИЯ О ПРОЕКТЕ,,,,,,,
1,Общая информация,Указано название проекта,NOT STARTED,,,
2,Общая информация,Указана версия ТЗ и дата создания/обновления,NOT STARTED,,,
3,Общая информация,Указаны авторы/ответственные за ТЗ,NOT STARTED,,,
4,Общая информация,Есть описание целей и задач проекта,NOT STARTED,,,
5,Общая информация,Определена целевая аудитория,NOT STARTED,,,
6,Общая информация,Указаны сроки реализации (дедлайны),NOT STARTED,,,
7,Общая информация,Есть информация о бюджете/ресурсах (если применимо),NOT STARTED,,,
,,,,,,,
2. ТЕХНИЧЕСКИЕ ТРЕБОВАНИЯ,,,,,,,
8,Технические требования,Указаны поддерживаемые платформы (Web/iOS/Android/Desktop),NOT STARTED,,,
9,Технические требования,Указаны минимальные версии ОС,NOT STARTED,,,
10,Технические требования,Указаны требования к браузерам и их версиям,NOT STARTED,,,
11,Технические требования,Указаны разрешения экранов для поддержки,NOT STARTED,,,
12,Технические требования,Указаны требования к производительности,NOT STARTED,,,
13,Технические требования,Указаны требования к скорости загрузки,NOT STARTED,,,
14,Технические требования,Определены требования к API (версии, протоколы),NOT STARTED,,,
15,Технические требования,Указаны используемые технологии и фреймворки,NOT STARTED,,,
16,Технические требования,Есть требования к безопасности,NOT STARTED,,,
17,Технические требования,Определены требования к масштабируемости,NOT STARTED,,,
,,,,,,,
3. ЛОКАЛИЗАЦИЯ И ЯЗЫКИ,,,,,,,
18,Локализация,Указаны поддерживаемые языки интерфейса,NOT STARTED,,,
19,Локализация,Определен язык по умолчанию,NOT STARTED,,,
20,Локализация,Описана логика переключения языков,NOT STARTED,,,
21,Локализация,Указаны требования к форматам даты/времени,NOT STARTED,,,
22,Локализация,Указаны требования к форматам валют,NOT STARTED,,,
23,Локализация,Есть требования к RTL языкам (если применимо),NOT STARTED,,,
24,Локализация,Определены источники переводов,NOT STARTED,,,
,,,,,,,
4. АВТОРИЗАЦИЯ И РЕГИСТРАЦИЯ,,,,,,,
25,Авторизация,Описаны способы регистрации (email/соцсети/телефон),NOT STARTED,,,
26,Авторизация,Указаны требования к паролю (длина, сложность),NOT STARTED,,,
27,Авторизация,Описан процесс верификации email/телефона,NOT STARTED,,,
28,Авторизация,Описан процесс восстановления пароля,NOT STARTED,,,
29,Авторизация,Указано время жизни сессии,NOT STARTED,,,
30,Авторизация,Описана логика "Запомнить меня",NOT STARTED,,,
31,Авторизация,Есть требования к двухфакторной аутентификации,NOT STARTED,,,
32,Авторизация,Описаны сообщения об ошибках авторизации,NOT STARTED,,,
33,Авторизация,Указаны правила блокировки после неудачных попыток,NOT STARTED,,,
34,Авторизация,Описана логика выхода из системы,NOT STARTED,,,
,,,,,,,
5. ПОЛЬЗОВАТЕЛЬСКИЙ ПРОФИЛЬ,,,,,,,
35,Профиль,Описаны обязательные поля профиля,NOT STARTED,,,
36,Профиль,Описаны опциональные поля профиля,NOT STARTED,,,
37,Профиль,Указаны ограничения на никнейм (длина, символы),NOT STARTED,,,
38,Профиль,Описаны требования к аватару (форматы, размер, разрешение),NOT STARTED,,,
39,Профиль,Описана возможность редактирования профиля,NOT STARTED,,,
40,Профиль,Описана возможность удаления аккаунта,NOT STARTED,,,
41,Профиль,Указаны поля статистики пользователя,NOT STARTED,,,
42,Профиль,Описаны настройки приватности,NOT STARTED,,,
,,,,,,,
6. ИГРОВАЯ МЕХАНИКА / ОСНОВНОЙ ФУНКЦИОНАЛ,,,,,,,
43,Основной функционал,Описаны все основные экраны приложения,NOT STARTED,,,
44,Основной функционал,Для каждого экрана указаны все элементы UI,NOT STARTED,,,
45,Основной функционал,Описана навигация между экранами,NOT STARTED,,,
46,Основной функционал,Указаны все возможные действия пользователя,NOT STARTED,,,
47,Основной функционал,Описаны результаты каждого действия,NOT STARTED,,,
48,Основной функционал,Указаны условия доступности функций,NOT STARTED,,,
49,Основной функционал,Описаны все состояния UI элементов (disabled/active/loading),NOT STARTED,,,
50,Основной функционал,Есть описание анимаций и переходов,NOT STARTED,,,
51,Основной функционал,Указаны дефолтные значения для всех параметров,NOT STARTED,,,
,,,,,,,
7. ИГРОВЫЕ СУЩНОСТИ (для игр),,,,,,,
52,Игровые сущности,Описаны все типы персонажей/юнитов,NOT STARTED,,,
53,Игровые сущности,Для каждого типа указаны характеристики,NOT STARTED,,,
54,Игровые сущности,Описаны формулы расчета характеристик,NOT STARTED,,,
55,Игровые сущности,Указаны диапазоны значений характеристик,NOT STARTED,,,
56,Игровые сущности,Описана система прокачки/улучшения,NOT STARTED,,,
57,Игровые сущности,Указаны условия получения сущностей,NOT STARTED,,,
58,Игровые сущности,Описаны редкости/уровни сущностей,NOT STARTED,,,
,,,,,,,
8. ЭКОНОМИКА И ВАЛЮТА,,,,,,,
59,Экономика,Описаны все типы валют в игре,NOT STARTED,,,
60,Экономика,Указаны способы получения каждой валюты,NOT STARTED,,,
61,Экономика,Указаны способы траты каждой валюты,NOT STARTED,,,
62,Экономика,Описаны стартовые балансы,NOT STARTED,,,
63,Экономика,Указаны лимиты на валюты (если есть),NOT STARTED,,,
64,Экономика,Описаны курсы обмена валют (если есть),NOT STARTED,,,
65,Экономика,Описаны цены на все покупаемые предметы,NOT STARTED,,,
66,Экономика,Указаны награды за все активности,NOT STARTED,,,
67,Экономика,Есть балансная модель экономики,NOT STARTED,,,
,,,,,,,
9. МОНЕТИЗАЦИЯ,,,,,,,
68,Монетизация,Описаны все способы монетизации,NOT STARTED,,,
69,Монетизация,Указаны цены на внутриигровые покупки (IAP),NOT STARTED,,,
70,Монетизация,Описаны все доступные паки/наборы,NOT STARTED,,,
71,Монетизация,Указано содержимое каждого пака,NOT STARTED,,,
72,Монетизация,Описана система подписок (если есть),NOT STARTED,,,
73,Монетизация,Указаны бонусы подписок,NOT STARTED,,,
74,Монетизация,Описаны промо-акции и специальные предложения,NOT STARTED,,,
75,Монетизация,Указаны правила возвратов/рефандов,NOT STARTED,,,
76,Монетизация,Описана интеграция с платежными системами,NOT STARTED,,,
,,,,,,,
10. ИНВЕНТАРЬ И ПРЕДМЕТЫ,,,,,,,
77,Инвентарь,Описаны все типы предметов,NOT STARTED,,,
78,Инвентарь,Для каждого предмета указаны характеристики,NOT STARTED,,,
79,Инвентарь,Описаны способы получения предметов,NOT STARTED,,,
80,Инвентарь,Указаны лимиты инвентаря,NOT STARTED,,,
81,Инвентарь,Описана сортировка и фильтрация предметов,NOT STARTED,,,
82,Инвентарь,Описаны действия с предметами (использовать/продать/удалить),NOT STARTED,,,
83,Инвентарь,Указаны цены продажи предметов,NOT STARTED,,,
84,Инвентарь,Описана система крафта (если есть),NOT STARTED,,,
85,Инвентарь,Описана система улучшения предметов (если есть),NOT STARTED,,,
,,,,,,,
11. БОЕВАЯ СИСТЕМА (для игр с боями),,,,,,,
86,Боевая система,Описаны типы боев (PvP/PvE),NOT STARTED,,,
87,Боевая система,Описаны правила матчмейкинга,NOT STARTED,,,
88,Боевая система,Указаны условия победы/поражения,NOT STARTED,,,
89,Боевая система,Описаны награды за победу,NOT STARTED,,,
90,Боевая система,Описаны штрафы за поражение (если есть),NOT STARTED,,,
91,Боевая система,Указано время на ход/действие,NOT STARTED,,,
92,Боевая система,Описаны все боевые способности,NOT STARTED,,,
93,Боевая система,Для каждой способности указаны параметры (урон, кулдаун, стоимость),NOT STARTED,,,
94,Боевая система,Описаны формулы расчета урона,NOT STARTED,,,
95,Боевая система,Описана система комбо/синергий (если есть),NOT STARTED,,,
96,Боевая система,Указаны правила расстановки команды,NOT STARTED,,,
,,,,,,,
12. СОЦИАЛЬНЫЕ ФУНКЦИИ,,,,,,,
97,Социальные функции,Описана система друзей/контактов,NOT STARTED,,,
98,Социальные функции,Описан функционал чата/сообщений,NOT STARTED,,,
99,Социальные функции,Описаны гильдии/кланы (если есть),NOT STARTED,,,
100,Социальные функции,Описана система рейтингов/лидерборда,NOT STARTED,,,
101,Социальные функции,Описан функционал приглашения друзей,NOT STARTED,,,
